Id,Num rotonda,horario,dia,Id_Entrada,Id_salida,Tiempo Entrada,Tiempo Salida,Tiempo dentro,Tipo vehículo
52,1,7:00 AM,Lunes,0,2,5.241379310344827,14.827586206896552,9.586206896551724,car
95,1,7:00 AM,Lunes,0,1,11.931034482758621,15.724137931034482,3.793103448275861,car
30,1,7:00 AM,Lunes,0,0,2.413793103448276,16.0,13.586206896551724,car
17,1,7:00 AM,Lunes,1,0,0.0,18.0,18.0,car
6,1,7:00 AM,Lunes,1,3,0.0,19.379310344827587,19.379310344827587,car
71,1,7:00 AM,Lunes,0,2,9.03448275862069,20.20689655172414,11.172413793103448,car
87,1,7:00 AM,Lunes,0,2,10.551724137931034,21.724137931034484,11.17241379310345,car
39,1,7:00 AM,Lunes,1,0,5.379310344827586,23.310344827586206,17.93103448275862,car
35,1,7:00 AM,Lunes,1,3,4.9655172413793105,24.482758620689655,19.517241379310345,car
184,1,7:00 AM,Lunes,0,1,23.586206896551722,27.586206896551722,4.0,car
68,1,7:00 AM,Lunes,0,3,9.448275862068966,28.344827586206897,18.89655172413793,car
90,1,7:00 AM,Lunes,1,0,13.931034482758621,30.275862068965516,16.344827586206897,car
134,1,7:00 AM,Lunes,0,2,18.20689655172414,30.482758620689655,12.275862068965516,car
147,1,7:00 AM,Lunes,2,0,19.655172413793103,31.379310344827587,11.724137931034484,car
106,1,7:00 AM,Lunes,1,3,16.20689655172414,32.55172413793103,16.344827586206893,car
176,1,7:00 AM,Lunes,0,2,22.82758620689655,32.89655172413793,10.068965517241377,car
79,1,7:00 AM,Lunes,1,0,11.724137931034482,33.172413793103445,21.44827586206896,car
128,1,7:00 AM,Lunes,1,0,19.93103448275862,34.13793103448276,14.206896551724142,car
136,1,7:00 AM,Lunes,0,0,19.24137931034483,37.03448275862069,17.79310344827586,car
246,1,7:00 AM,Lunes,2,0,29.93103448275862,39.58620689655172,9.655172413793103,car
141,1,7:00 AM,Lunes,1,0,22.620689655172413,42.275862068965516,19.655172413793103,car
323,1,7:00 AM,Lunes,0,1,38.13793103448276,42.55172413793103,4.4137931034482705,car
158,1,7:00 AM,Lunes,1,3,24.689655172413794,43.172413793103445,18.48275862068965,car
216,1,7:00 AM,Lunes,0,2,26.96551724137931,43.241379310344826,16.275862068965516,car
198,1,7:00 AM,Lunes,0,2,24.482758620689655,43.310344827586206,18.82758620689655,car
335,1,7:00 AM,Lunes,0,1,39.793103448275865,43.37931034482759,3.5862068965517224,car
150,1,7:00 AM,Lunes,1,3,23.17241379310345,43.86206896551724,20.68965517241379,car
138,1,7:00 AM,Lunes,1,0,21.24137931034483,44.275862068965516,23.034482758620687,car
167,1,7:00 AM,Lunes,1,0,24.551724137931036,45.51724137931034,20.965517241379306,car
209,1,7:00 AM,Lunes,1,3,27.724137931034484,46.41379310344828,18.689655172413794,car
271,1,7:00 AM,Lunes,0,2,33.44827586206897,46.55172413793103,13.103448275862064,car
212,1,7:00 AM,Lunes,1,3,29.103448275862068,47.793103448275865,18.689655172413797,car
327,1,7:00 AM,Lunes,2,0,38.689655172413794,48.827586206896555,10.137931034482762,car
334,1,7:00 AM,Lunes,3,3,39.86206896551724,48.89655172413793,9.03448275862069,car
337,1,7:00 AM,Lunes,0,2,40.13793103448276,50.206896551724135,10.068965517241374,car
367,1,7:00 AM,Lunes,2,3,44.41379310344828,50.3448275862069,5.931034482758619,car
247,1,7:00 AM,Lunes,0,0,30.75862068965517,50.827586206896555,20.068965517241384,car
312,1,7:00 AM,Lunes,1,2,39.241379310344826,51.724137931034484,12.482758620689658,car
222,1,7:00 AM,Lunes,0,3,26.75862068965517,53.03448275862069,26.27586206896552,car
298,1,7:00 AM,Lunes,0,0,36.827586206896555,54.48275862068966,17.655172413793103,car
238,1,7:00 AM,Lunes,1,3,31.862068965517242,54.827586206896555,22.965517241379313,car
396,1,7:00 AM,Lunes,2,3,48.55172413793103,55.86206896551724,7.310344827586206,car
338,1,7:00 AM,Lunes,1,0,41.51724137931034,56.62068965517241,15.103448275862071,car
410,1,7:00 AM,Lunes,2,3,50.41379310344828,57.51724137931034,7.103448275862064,car
389,1,7:00 AM,Lunes,2,0,47.310344827586206,58.275862068965516,10.96551724137931,car
421,1,7:00 AM,Lunes,2,3,52.689655172413794,58.758620689655174,6.068965517241381,car
357,1,7:00 AM,Lunes,0,0,43.793103448275865,59.86206896551724,16.068965517241374,car
434,1,7:00 AM,Lunes,2,3,54.689655172413794,60.55172413793103,5.862068965517238,car
404,1,7:00 AM,Lunes,2,0,49.6551724137931,60.689655172413794,11.03448275862069,car
442,1,7:00 AM,Lunes,2,3,56.206896551724135,62.48275862068966,6.275862068965523,car
376,1,7:00 AM,Lunes,0,0,46.41379310344828,63.10344827586207,16.689655172413794,car
344,1,7:00 AM,Lunes,1,3,42.89655172413793,64.13793103448276,21.241379310344833,car
391,1,7:00 AM,Lunes,0,2,47.793103448275865,64.55172413793103,16.758620689655167,car
399,1,7:00 AM,Lunes,0,2,49.51724137931034,65.10344827586206,15.586206896551722,car
400,1,7:00 AM,Lunes,1,0,50.758620689655174,66.0,15.241379310344826,car
419,1,7:00 AM,Lunes,0,2,52.96551724137931,66.89655172413794,13.931034482758626,van
464,1,7:00 AM,Lunes,2,3,58.89655172413793,67.24137931034483,8.344827586206897,car
452,1,7:00 AM,Lunes,2,0,57.310344827586206,68.20689655172414,10.896551724137936,car
496,1,7:00 AM,Lunes,2,0,61.310344827586206,68.20689655172414,6.896551724137936,car
514,1,7:00 AM,Lunes,0,1,64.96551724137932,68.89655172413794,3.931034482758619,car
446,1,7:00 AM,Lunes,1,2,58.3448275862069,69.17241379310344,10.827586206896548,car
479,1,7:00 AM,Lunes,2,3,60.3448275862069,69.58620689655173,9.241379310344833,car
449,1,7:00 AM,Lunes,0,2,57.37931034482759,70.55172413793103,13.172413793103445,car
518,1,7:00 AM,Lunes,2,3,65.3103448275862,71.79310344827586,6.482758620689651,car
463,1,7:00 AM,Lunes,0,2,59.241379310344826,72.34482758620689,13.103448275862064,car
504,1,7:00 AM,Lunes,0,2,62.89655172413793,73.65517241379311,10.758620689655181,car
550,1,7:00 AM,Lunes,0,1,71.44827586206897,75.72413793103448,4.275862068965509,car
455,1,7:00 AM,Lunes,0,0,58.62068965517241,76.41379310344827,17.793103448275858,car
467,1,7:00 AM,Lunes,0,0,59.93103448275862,77.93103448275862,18.0,car
535,1,7:00 AM,Lunes,0,2,68.41379310344827,78.62068965517241,10.206896551724142,car
553,1,7:00 AM,Lunes,2,0,71.37931034482759,83.3103448275862,11.93103448275862,car
644,1,7:00 AM,Lunes,0,1,79.24137931034483,83.44827586206897,4.206896551724142,car
475,1,7:00 AM,Lunes,1,0,61.58620689655172,83.72413793103448,22.137931034482754,car
478,1,7:00 AM,Lunes,1,3,62.06896551724138,84.82758620689656,22.758620689655174,car
561,1,7:00 AM,Lunes,0,2,73.51724137931035,85.17241379310344,11.655172413793096,car
658,1,7:00 AM,Lunes,0,1,82.06896551724138,85.51724137931035,3.448275862068968,car
