id,r_id,h_id,d,Id_in,Id_out,in_timestamp,out_timestamp,duration,type
13,2,h1,w,2,0,1.0344827586206897,4.9655172413793105,3.931034482758621,car
42,2,h1,w,0,1,1.4482758620689655,7.379310344827586,5.931034482758621,van
4,2,h1,w,1,0,0.0,9.03448275862069,9.03448275862069,car
10,2,h1,w,2,0,3.6551724137931036,9.517241379310345,5.862068965517242,car
55,2,h1,w,2,0,5.862068965517241,10.689655172413794,4.8275862068965525,car
28,2,h1,w,0,0,0.6206896551724138,16.06896551724138,15.448275862068966,car
1,2,h1,w,0,0,0.0,17.03448275862069,17.03448275862069,car
84,2,h1,w,1,0,9.241379310344827,18.689655172413794,9.448275862068966,car
93,2,h1,w,2,0,14.206896551724139,19.517241379310345,5.310344827586206,car
115,2,h1,w,1,2,16.275862068965516,22.0,5.724137931034484,car
91,2,h1,w,1,0,12.89655172413793,23.93103448275862,11.034482758620689,van
81,2,h1,w,0,0,8.89655172413793,25.79310344827586,16.89655172413793,car
130,2,h1,w,1,0,16.75862068965517,26.82758620689655,10.06896551724138,car
144,2,h1,w,0,1,19.724137931034484,28.06896551724138,8.344827586206897,car
134,2,h1,w,1,0,17.517241379310345,28.551724137931036,11.03448275862069,car
107,2,h1,w,0,2,13.448275862068966,29.310344827586206,15.86206896551724,car
162,2,h1,w,1,0,20.413793103448278,29.379310344827587,8.96551724137931,car
174,2,h1,w,0,1,22.620689655172413,30.413793103448278,7.793103448275865,car
113,2,h1,w,0,2,14.551724137931034,31.03448275862069,16.48275862068966,car
176,2,h1,w,2,0,26.20689655172414,31.310344827586206,5.103448275862068,car
73,2,h1,w,0,0,8.551724137931034,31.862068965517242,23.310344827586206,car
190,2,h1,w,0,1,24.137931034482758,32.41379310344828,8.27586206896552,car
141,2,h1,w,0,2,18.413793103448278,32.48275862068966,14.06896551724138,car
168,2,h1,w,0,2,21.379310344827587,34.206896551724135,12.827586206896548,car
230,2,h1,w,0,1,26.75862068965517,34.275862068965516,7.517241379310345,car
219,2,h1,w,1,2,26.551724137931036,34.3448275862069,7.793103448275861,car
192,2,h1,w,0,2,24.0,36.827586206896555,12.827586206896555,car
259,2,h1,w,0,1,31.586206896551722,37.58620689655172,6.0,bus
265,2,h1,w,2,0,35.03448275862069,38.55172413793103,3.5172413793103416,car
212,2,h1,w,0,2,26.137931034482758,39.241379310344826,13.103448275862068,car
291,2,h1,w,2,0,37.86206896551724,40.55172413793103,2.6896551724137936,car
289,2,h1,w,2,0,38.3448275862069,42.689655172413794,4.344827586206897,car
300,2,h1,w,1,2,37.724137931034484,43.58620689655172,5.862068965517238,car
246,2,h1,w,0,0,29.586206896551722,45.172413793103445,15.586206896551722,car
252,2,h1,w,0,0,30.82758620689655,46.827586206896555,16.000000000000004,car
341,2,h1,w,0,1,42.13793103448276,48.758620689655174,6.620689655172413,car
351,2,h1,w,0,1,44.96551724137931,52.206896551724135,7.241379310344826,car
363,2,h1,w,2,0,48.13793103448276,52.275862068965516,4.1379310344827545,car
295,2,h1,w,0,0,36.41379310344828,53.6551724137931,17.241379310344826,car
338,2,h1,w,0,2,42.206896551724135,54.827586206896555,12.62068965517242,car
379,2,h1,w,0,1,48.96551724137931,55.10344827586207,6.137931034482762,car
366,2,h1,w,1,0,46.827586206896555,55.93103448275862,9.103448275862064,car
332,2,h1,w,1,0,41.37931034482759,56.41379310344828,15.03448275862069,car
382,2,h1,w,2,0,52.206896551724135,57.58620689655172,5.379310344827587,car
362,2,h1,w,0,2,46.3448275862069,57.86206896551724,11.517241379310342,car
406,2,h1,w,0,1,54.06896551724138,58.96551724137931,4.896551724137929,car
356,2,h1,w,0,0,44.96551724137931,59.86206896551724,14.896551724137929,car
383,2,h1,w,0,2,50.0,61.172413793103445,11.172413793103445,car
436,2,h1,w,0,1,57.172413793103445,62.758620689655174,5.5862068965517295,car
399,2,h1,w,0,2,53.724137931034484,66.0,12.275862068965516,car
447,2,h1,w,0,1,58.96551724137931,66.41379310344827,7.448275862068961,car
501,2,h1,w,0,1,63.310344827586206,67.93103448275862,4.620689655172413,car
469,2,h1,w,0,1,60.206896551724135,67.93103448275862,7.724137931034484,car
493,2,h1,w,1,0,61.93103448275862,71.93103448275862,10.0,car
494,2,h1,w,1,0,62.55172413793103,72.20689655172414,9.65517241379311,car
458,2,h1,w,1,0,59.724137931034484,73.3103448275862,13.586206896551722,car
514,2,h1,w,1,0,65.72413793103448,74.89655172413794,9.172413793103459,car
512,2,h1,w,0,2,65.03448275862068,76.41379310344827,11.379310344827587,car
540,2,h1,w,2,0,73.72413793103448,77.51724137931035,3.793103448275872,car
511,2,h1,w,0,0,65.44827586206897,79.3103448275862,13.862068965517238,car
546,2,h1,w,0,2,72.34482758620689,81.37931034482759,9.034482758620697,car
543,2,h1,w,1,0,73.10344827586206,83.58620689655173,10.482758620689665,car
565,2,h1,w,1,0,74.6896551724138,85.3103448275862,10.620689655172413,car
572,2,h1,w,2,0,77.58620689655173,85.93103448275862,8.34482758620689,car
586,2,h1,w,1,0,78.75862068965517,87.44827586206897,8.689655172413794,car
619,2,h1,w,2,0,83.17241379310344,88.62068965517241,5.448275862068968,car
578,2,h1,w,0,0,77.24137931034483,91.10344827586206,13.862068965517238,car
646,2,h1,w,2,0,85.37931034482759,92.27586206896552,6.896551724137936,car
678,2,h1,w,0,1,87.44827586206897,93.65517241379311,6.206896551724142,car
705,2,h1,w,0,1,89.79310344827586,95.03448275862068,5.241379310344826,car
606,2,h1,w,0,0,79.93103448275862,97.3103448275862,17.379310344827587,car
752,2,h1,w,0,1,93.24137931034483,99.58620689655173,6.344827586206904,van
690,2,h1,w,2,0,92.48275862068965,99.72413793103448,7.241379310344826,car
761,2,h1,w,0,1,94.6896551724138,101.72413793103448,7.034482758620683,car
718,2,h1,w,0,2,91.17241379310344,101.79310344827586,10.620689655172413,car
558,2,h1,w,0,1,74.20689655172414,102.89655172413794,28.689655172413794,car
667,2,h1,w,0,0,85.65517241379311,103.03448275862068,17.379310344827573,car
659,2,h1,w,1,0,84.96551724137932,103.72413793103448,18.75862068965516,car
