id,rotonda,horario,entrada,salida,tiempo_entrada,tiempo_salida,duracion,tipo,dia
13,r1,h4,0,1,3.3333333333333335,10.866666666666667,7.533333333333333,car,t
268,r1,h4,0,1,8.8,16.733333333333334,7.933333333333334,car,t
34,r1,h4,0,2,0.0,17.933333333333334,17.933333333333334,car,t
549,r1,h4,0,1,15.2,19.733333333333334,4.533333333333335,car,t
29,r1,h4,2,3,6.4,20.0,13.6,car,t
9,r1,h4,2,0,2.8,20.8,18.0,car,t
32,r1,h4,2,3,8.733333333333333,22.066666666666663,13.333333333333334,car,t
11,r1,h4,2,0,0.0,23.466666666666665,23.466666666666665,car,t
134,r1,h4,2,3,10.533333333333331,23.6,13.066666666666668,car,t
667,r1,h4,0,1,18.866666666666667,25.0,6.133333333333333,car,t
451,r1,h4,0,2,11.666666666666666,26.333333333333332,14.666666666666666,car,t
409,r1,h4,0,2,12.533333333333331,28.266666666666666,15.733333333333333,car,t
227,r1,h4,2,3,14.533333333333331,28.866666666666667,14.333333333333334,car,t
271,r1,h4,0,2,9.666666666666666,30.533333333333335,20.866666666666667,car,t
39,r1,h4,2,0,4.933333333333334,32.733333333333334,27.8,car,t
543,r1,h4,2,3,20.933333333333337,33.06666666666667,12.133333333333336,car,t
58,r1,h4,2,0,5.466666666666667,34.2,28.733333333333334,car,t
1033,r1,h4,0,1,29.733333333333334,34.8,5.066666666666663,car,t
787,r1,h4,2,3,24.8,35.2,10.400000000000002,car,t
213,r1,h4,2,0,13.8,36.333333333333336,22.533333333333335,car,t
16,r1,h4,2,0,2.1333333333333333,38.2,36.06666666666667,car,t
799,r1,h4,2,3,27.6,38.333333333333336,10.733333333333334,car,t
10,r1,h4,0,0,3.1333333333333333,39.93333333333333,36.8,car,t
629,r1,h4,0,2,18.666666666666668,39.93333333333333,21.266666666666666,car,t
629,r1,h4,2,2,40.666666666666664,40.666666666666664,0.0,car,t
629,r1,h4,2,2,40.733333333333334,40.733333333333334,0.0,car,t
143,r1,h4,2,0,10.666666666666666,45.333333333333336,34.66666666666667,car,t
49,r1,h4,2,0,13.133333333333333,46.06666666666667,32.93333333333334,car,t
1210,r1,h4,2,3,36.333333333333336,47.0,10.666666666666664,car,t
337,r1,h4,2,0,15.8,47.333333333333336,31.533333333333335,car,t
1236,r1,h4,0,1,35.666666666666664,47.733333333333334,12.06666666666667,car,t
416,r1,h4,2,0,16.6,48.333333333333336,31.733333333333334,car,t
27,r1,h4,1,0,8.6,49.0,40.4,car,t
1291,r1,h4,0,1,37.733333333333334,49.46666666666667,11.733333333333334,car,t
633,r1,h4,0,2,17.6,49.46666666666667,31.866666666666667,car,t
1304,r1,h4,2,3,39.266666666666666,49.46666666666667,10.200000000000005,car,t
731,r1,h4,0,2,21.6,50.733333333333334,29.133333333333333,car,t
1331,r1,h4,0,1,39.46666666666667,51.86666666666667,12.4,car,t
664,r1,h4,2,0,23.4,55.333333333333336,31.933333333333337,car,t
1640,r1,h4,2,3,46.86666666666667,56.6,9.733333333333334,car,t
1715,r1,h4,0,1,50.6,58.13333333333333,7.533333333333331,car,t
25,r1,h4,1,0,8.866666666666667,58.2,49.333333333333336,car,t
594,r1,h4,0,3,17.333333333333332,58.53333333333333,41.2,car,t
1074,r1,h4,0,2,31.866666666666667,59.93333333333333,28.066666666666663,car,t
1641,r1,h4,2,3,48.333333333333336,60.93333333333333,12.599999999999994,car,t
1056,r1,h4,1,0,27.733333333333334,61.333333333333336,33.6,car,t
447,r1,h4,1,0,20.933333333333337,63.333333333333336,42.400000000000006,car,t
1775,r1,h4,0,1,54.6,63.8,9.199999999999996,car,t
1907,r1,h4,0,1,56.733333333333334,65.6,8.86666666666666,car,t
1987,r1,h4,1,2,55.666666666666664,66.2,10.53333333333334,car,t
1961,r1,h4,0,1,58.733333333333334,67.6,8.86666666666666,truck,t
1468,r1,h4,1,0,40.8,67.8,27.0,car,t
841,r1,h4,0,2,25.866666666666667,68.46666666666667,42.6,car,t
753,r1,h4,0,3,23.2,70.0,46.8,car,t
2045,r1,h4,1,2,57.4,71.0,13.6,car,t
1200,r1,h4,0,0,37.6,72.26666666666667,34.666666666666664,car,t
1577,r1,h4,2,0,46.4,72.6,26.199999999999996,car,t
1116,r1,h4,0,2,32.666666666666664,72.8,40.13333333333333,car,t
2132,r1,h4,0,1,64.26666666666667,73.26666666666667,9.0,car,t
2169,r1,h4,0,1,66.0,74.0,8.0,car,t
2052,r1,h4,2,3,62.333333333333336,75.86666666666666,13.533333333333324,car,t
644,r1,h4,1,0,29.6,75.93333333333334,46.333333333333336,car,t
1664,r1,h4,0,2,49.53333333333333,76.33333333333333,26.799999999999997,car,t
1719,r1,h4,2,0,50.4,76.46666666666667,26.06666666666667,car,t
1142,r1,h4,0,2,34.06666666666667,76.53333333333333,42.46666666666666,car,t
1142,r1,h4,2,2,77.33333333333333,77.33333333333333,0.0,car,t
1142,r1,h4,2,2,77.4,77.4,0.0,car,t
2313,r1,h4,0,1,70.33333333333333,77.66666666666667,7.333333333333343,car,t
1734,r1,h4,0,2,52.8,77.8,25.0,car,t
2093,r1,h4,2,3,65.2,77.86666666666666,12.666666666666655,car,t
1258,r1,h4,0,2,40.06666666666667,78.0,37.93333333333333,car,t
1849,r1,h4,0,2,57.333333333333336,79.33333333333333,21.999999999999993,car,t
1315,r1,h4,2,1,39.06666666666667,79.4,40.333333333333336,car,t
1851,r1,h4,2,0,54.6,80.33333333333333,25.733333333333327,car,t
1656,r1,h4,1,3,45.93333333333333,80.33333333333333,34.4,car,t
1861,r1,h4,1,0,51.333333333333336,82.2,30.866666666666667,car,t
1921,r1,h4,2,0,56.93333333333333,84.53333333333333,27.6,car,t
1811,r1,h4,2,0,53.06666666666667,85.93333333333334,32.86666666666667,car,t
2000,r1,h4,2,0,59.8,87.0,27.200000000000003,car,t
2015,r1,h4,2,0,59.4,87.8,28.4,car,t
2149,r1,h4,2,0,64.4,89.2,24.799999999999997,car,t
2154,r1,h4,2,0,68.8,89.86666666666666,21.066666666666663,car,t
2336,r1,h4,2,0,70.13333333333334,90.73333333333332,20.59999999999999,car,t
2318,r1,h4,2,0,71.06666666666666,91.86666666666666,20.799999999999997,car,t
2159,r1,h4,1,3,61.86666666666667,93.2,31.333333333333336,car,t
2335,r1,h4,0,2,67.13333333333334,94.4,27.266666666666666,car,t
2232,r1,h4,1,3,64.2,94.86666666666666,30.666666666666657,car,t
2940,r1,h4,0,1,91.53333333333332,95.2,3.6666666666666714,car,t
1253,r1,h4,1,0,38.86666666666667,96.2,57.333333333333336,car,t
1624,r1,h4,1,0,49.2,96.93333333333334,47.733333333333334,car,t
1758,r1,h4,0,2,52.733333333333334,97.6,44.86666666666666,car,t
2386,r1,h4,0,2,72.6,97.86666666666666,25.266666666666666,car,t
2637,r1,h4,1,3,79.4,97.93333333333334,18.53333333333333,van,t
2463,r1,h4,1,0,72.06666666666666,98.66666666666669,26.60000000000001,car,t
2081,r1,h4,0,2,61.86666666666667,99.4,37.53333333333334,car,t
2951,r1,h4,3,3,89.66666666666667,100.06666666666666,10.399999999999991,car,t
2269,r1,h4,2,1,68.8,100.2,31.40000000000001,car,t
1922,r1,h4,1,0,53.53333333333333,100.86666666666666,47.33333333333333,car,t
2726,r1,h4,2,0,83.2,106.26666666666668,23.066666666666663,truck,t
2775,r1,h4,2,0,91.0,106.33333333333331,15.333333333333329,car,t
2817,r1,h4,1,2,87.66666666666667,106.53333333333332,18.86666666666666,car,t
2207,r1,h4,0,2,68.33333333333333,108.06666666666666,39.733333333333334,car,t
2569,r1,h4,0,3,80.73333333333333,108.8,28.066666666666663,car,t
3049,r1,h4,0,1,98.06666666666666,108.93333333333334,10.866666666666674,car,t
2025,r1,h4,0,0,64.53333333333333,110.2,45.66666666666667,car,t
2740,r1,h4,2,3,91.53333333333332,110.33333333333331,18.799999999999997,car,t
2668,r1,h4,0,2,84.93333333333334,110.46666666666668,25.53333333333333,car,t
1432,r1,h4,0,0,44.53333333333333,110.73333333333332,66.2,car,t
2571,r1,h4,2,1,79.26666666666667,111.06666666666666,31.799999999999997,car,t
3178,r1,h4,0,1,101.33333333333331,111.4,10.066666666666675,car,t
2738,r1,h4,1,3,85.26666666666667,111.73333333333332,26.46666666666667,car,t
2436,r1,h4,2,2,73.8,112.2,38.400000000000006,car,t
3249,r1,h4,0,1,103.73333333333332,112.6,8.86666666666666,car,t
2190,r1,h4,1,0,63.266666666666666,114.06666666666666,50.8,car,t
3332,r1,h4,0,1,106.6,114.6,8.0,car,t
3156,r1,h4,2,3,104.6,114.6,10.0,car,t
2871,r1,h4,2,0,92.86666666666666,115.33333333333331,22.46666666666667,car,t
2855,r1,h4,2,3,95.26666666666668,115.66666666666669,20.40000000000001,car,t
2988,r1,h4,0,2,94.53333333333332,117.2,22.66666666666667,car,t
2703,r1,h4,2,0,88.6,117.26666666666668,28.66666666666667,car,t
3339,r1,h4,0,2,105.93333333333334,118.06666666666666,12.133333333333326,car,t
3111,r1,h4,2,0,103.6,118.6,15.0,car,t
2831,r1,h4,0,2,91.93333333333334,119.2,27.266666666666666,car,t
2701,r1,h4,0,0,86.8,119.66666666666669,32.866666666666674,car,t
3200,r1,h4,2,3,109.06666666666666,119.73333333333332,10.666666666666671,car,t
3227,r1,h4,0,2,101.66666666666669,120.6,18.933333333333323,car,t
2879,r1,h4,1,0,87.8,120.73333333333332,32.93333333333334,car,t
2719,r1,h4,1,0,86.26666666666667,122.26666666666668,36.0,car,t
3353,r1,h4,0,2,106.93333333333334,124.26666666666668,17.33333333333333,car,t
3473,r1,h4,2,3,113.8,125.8,12.0,car,t
3172,r1,h4,2,0,102.8,126.4,23.60000000000001,car,t
3361,r1,h4,2,0,110.2,128.53333333333333,18.33333333333333,car,t
3819,r1,h4,2,3,118.33333333333331,129.06666666666666,10.733333333333334,car,t
3216,r1,h4,2,0,106.26666666666668,130.2,23.933333333333323,car,t
3950,r1,h4,1,2,120.0,130.93333333333334,10.933333333333335,car,t
3098,r1,h4,2,1,101.26666666666668,131.0,29.733333333333334,car,t
3414,r1,h4,0,3,108.8,132.6,23.799999999999997,car,t
3717,r1,h4,1,0,112.26666666666668,134.06666666666666,21.799999999999997,car,t
2760,r1,h4,1,0,90.33333333333331,135.46666666666667,45.13333333333334,car,t
3326,r1,h4,2,1,108.33333333333331,136.53333333333333,28.200000000000003,car,t
3167,r1,h4,2,0,107.53333333333332,137.06666666666666,29.53333333333333,van,t
3902,r1,h4,2,3,121.0,137.8,16.80000000000001,car,t
4315,r1,h4,1,2,130.6,138.53333333333333,7.933333333333337,car,t
4055,r1,h4,2,3,125.26666666666668,139.26666666666668,14.000000000000014,car,t
3977,r1,h4,2,0,124.66666666666669,139.53333333333333,14.86666666666666,car,t
4009,r1,h4,1,0,121.33333333333331,141.46666666666667,20.13333333333334,car,t
4143,r1,h4,2,3,130.4,141.53333333333333,11.133333333333326,car,t
3947,r1,h4,2,0,123.46666666666668,143.93333333333334,20.46666666666667,car,t
3974,r1,h4,2,0,123.8,144.4,20.60000000000001,car,t
4078,r1,h4,2,0,126.46666666666668,145.2,18.73333333333332,car,t
4109,r1,h4,2,0,128.13333333333333,145.73333333333332,17.599999999999994,car,t
4369,r1,h4,2,3,135.73333333333332,146.73333333333332,11.0,car,t
4098,r1,h4,2,0,128.2,147.73333333333332,19.53333333333333,car,t
4390,r1,h4,2,3,137.0,148.53333333333333,11.533333333333331,car,t
4344,r1,h4,1,0,131.8,149.93333333333334,18.13333333333333,car,t
4492,r1,h4,2,3,139.66666666666666,150.4,10.733333333333348,car,t
4283,r1,h4,0,2,132.46666666666667,150.8,18.333333333333343,car,t
4425,r1,h4,3,3,141.26666666666668,151.6,10.333333333333314,car,t
3845,r1,h4,0,0,119.93333333333334,152.13333333333333,32.19999999999999,car,t
4297,r1,h4,2,0,131.8,152.8,21.0,car,t
3484,r1,h4,2,1,112.53333333333332,153.4,40.866666666666674,car,t
4084,r1,h4,1,0,127.46666666666668,154.0,26.53333333333333,car,t
4284,r1,h4,0,2,133.26666666666668,154.8,21.53333333333333,car,t
3786,r1,h4,1,0,115.4,155.53333333333333,40.133333333333326,car,t
4639,r1,h4,1,0,141.2,156.33333333333334,15.133333333333354,car,t
4722,r1,h4,1,3,144.73333333333332,156.86666666666667,12.133333333333354,car,t
4852,r1,h4,0,1,151.86666666666667,158.13333333333333,6.2666666666666515,car,t
4638,r1,h4,2,3,143.86666666666667,158.86666666666667,15.0,car,t
13,r1,h2,0,1,1.3793103448275863,5.241379310344827,3.862068965517241,car,t
24,r1,h2,2,3,0.0,7.172413793103448,7.172413793103448,car,t
61,r1,h2,0,1,4.137931034482759,7.931034482758621,3.793103448275862,car,t
15,r1,h2,2,3,1.4482758620689655,8.068965517241379,6.620689655172414,car,t
97,r1,h2,0,1,6.620689655172414,10.758620689655173,4.137931034482759,car,t
26,r1,h2,2,0,3.655172413793104,13.310344827586206,9.655172413793103,car,t
19,r1,h2,1,3,0.0,15.172413793103448,15.172413793103448,car,t
162,r1,h2,0,1,11.241379310344827,15.517241379310343,4.275862068965518,car,t
55,r1,h2,2,3,9.03448275862069,17.103448275862068,8.068965517241377,car,t
180,r1,h2,0,1,13.724137931034482,18.344827586206897,4.620689655172415,car,t
28,r1,h2,2,0,4.275862068965517,18.482758620689655,14.20689655172414,car,t
16,r1,h2,2,0,5.103448275862069,19.103448275862068,13.999999999999998,car,t
83,r1,h2,2,0,10.275862068965518,20.75862068965517,10.482758620689651,car,t
4,r1,h2,0,2,2.7586206896551726,21.379310344827587,18.620689655172413,car,t
8,r1,h2,0,2,1.103448275862069,22.275862068965516,21.17241379310345,car,t
69,r1,h2,1,0,6.413793103448276,22.896551724137932,16.48275862068966,car,t
168,r1,h2,2,3,16.137931034482758,23.24137931034483,7.103448275862071,car,t
88,r1,h2,1,0,8.551724137931034,23.655172413793103,15.10344827586207,car,t
18,r1,h2,1,3,0.7586206896551724,24.96551724137931,24.20689655172414,car,t
135,r1,h2,2,0,13.310344827586206,25.103448275862068,11.79310344827586,car,t
103,r1,h2,0,2,6.896551724137931,25.448275862068964,18.551724137931032,car,t
184,r1,h2,2,3,19.03448275862069,27.517241379310345,8.482758620689655,car,t
3,r1,h2,0,0,0.0,27.79310344827586,27.79310344827586,car,t
150,r1,h2,1,3,12.482758620689657,29.724137931034484,17.24137931034483,car,t
202,r1,h2,0,2,17.379310344827587,29.93103448275862,12.551724137931032,car,t
133,r1,h2,0,0,9.517241379310343,31.86206896551724,22.344827586206897,car,t
227,r1,h2,0,2,20.896551724137932,32.689655172413794,11.79310344827586,car,t
169,r1,h2,2,0,13.724137931034482,32.89655172413793,19.172413793103445,car,t
207,r1,h2,2,0,21.03448275862069,34.13793103448276,13.103448275862071,car,t
191,r1,h2,2,1,16.482758620689655,36.48275862068966,20.000000000000004,car,t
192,r1,h2,0,0,16.137931034482758,36.55172413793103,20.41379310344827,car,t
225,r1,h2,2,0,25.724137931034484,37.58620689655172,11.862068965517238,car,t
236,r1,h2,1,3,23.103448275862068,38.41379310344828,15.31034482758621,car,t
265,r1,h2,2,0,26.482758620689655,39.172413793103445,12.68965517241379,car,t
323,r1,h2,0,1,34.62068965517241,39.6551724137931,5.03448275862069,car,t
228,r1,h2,0,0,21.86206896551724,41.172413793103445,19.310344827586203,car,t
182,r1,h2,2,1,19.103448275862068,41.172413793103445,22.068965517241377,car,t
257,r1,h2,1,0,25.655172413793103,42.689655172413794,17.03448275862069,car,t
283,r1,h2,2,3,33.51724137931034,43.44827586206897,9.931034482758626,car,t
317,r1,h2,2,3,37.10344827586207,44.3448275862069,7.241379310344826,car,t
275,r1,h2,1,0,30.13793103448276,44.41379310344828,14.27586206896552,car,t
279,r1,h2,0,2,28.82758620689655,44.89655172413793,16.068965517241377,car,t
